IP,Blokkert_tid,Kilde,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,Land,ISP
101.36.127.85,2026-07-03T05:49:55.416539,auto,11,3,N/A,N/A,HK,Unknown
101.126.89.144,2026-07-03T05:49:55.416542,auto,11,4,N/A,N/A,CN,Unknown
101.13.4.120,2026-07-03T05:49:55.416546,auto,9,4,N/A,N/A,TW,Unknown
1.220.198.126,2026-07-03T05:49:55.416549,auto,10,5,N/A,N/A,KR,Unknown
114.34.106.146,2026-07-03T05:49:55.416553,auto,16,2,N/A,N/A,TW,Unknown
1.241.64.237,2026-07-03T05:49:55.416556,auto,8,3,N/A,N/A,KR,Unknown
124.156.129.246,2026-07-03T05:49:55.416560,auto,13,4,N/A,N/A,HK,Unknown
181.188.176.242,2026-07-03T05:49:55.416564,auto,12,4,N/A,N/A,BO,Unknown
34.116.189.41,2026-07-03T05:49:55.416568,auto,1,1,100,61,PL,Google LLC
172.110.223.94,2026-07-03T05:49:55.416571,auto,2,1,100,35,US,Dedires LLC
101.36.114.252,2026-07-03T05:49:55.416576,auto,13,2,N/A,N/A,KR,Unknown
101.126.14.37,2026-07-03T05:49:55.416580,auto,12,4,N/A,N/A,CN,Unknown
101.126.4.215,2026-07-03T05:49:55.416583,auto,10,4,N/A,N/A,CN,Unknown
5.61.209.92,2026-07-03T05:49:55.416587,auto,12,5,N/A,N/A,SC,Unknown
198.23.249.85,2026-07-03T05:49:55.416591,auto,11,5,N/A,N/A,US,Unknown
158.94.210.203,2026-07-03T05:49:55.416595,auto,13,3,N/A,N/A,NL,Unknown
59.24.133.197,2026-07-03T05:49:55.416598,auto,10,1,N/A,N/A,KR,Unknown
101.13.5.34,2026-07-03T05:49:55.416602,auto,10,4,N/A,N/A,TW,Unknown
202.72.196.75,2026-07-03T05:49:55.416605,auto,13,4,N/A,N/A,ID,Unknown
45.148.10.183,2026-07-03T05:49:55.416609,auto,17,4,N/A,N/A,NL,Unknown
101.206.211.72,2026-07-03T05:49:55.416613,auto,16,3,N/A,N/A,CN,Unknown
45.56.84.110,2026-07-03T05:49:55.416616,auto,4,2,N/A,N/A,US,Unknown
121.227.152.250,2026-07-03T05:49:55.416620,auto,10,4,N/A,N/A,CN,Unknown
166.62.124.255,2026-07-03T05:49:55.416624,auto,8,3,N/A,N/A,US,Unknown
101.13.5.39,2026-07-03T05:49:55.416628,auto,12,4,N/A,N/A,TW,Unknown
45.148.10.152,2026-07-03T05:49:55.416631,auto,15,2,N/A,N/A,NL,Unknown
1.212.225.99,2026-07-03T05:49:55.416634,auto,9,6,N/A,N/A,KR,Unknown
1.12.55.42,2026-07-03T05:49:55.416638,auto,7,3,N/A,N/A,CN,Unknown
